soc_code,occupation_title,aioe_title,description,aei_score,risk_band
45-4021,Fallers,Fallers,Use axes or chainsaws to fell trees using knowledge of tree characteristics and cutting techniques to control direction of fall and minimize tree damage.,0.13016240751447827,Green
45-4022,Logging Equipment Operators,Logging Equipment Operators,"Drive logging tractor or wheeled vehicle equipped with one or more accessories, such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree; to skid, load, unload, or stack logs; or to pull stumps or clear brush. Includes operating stand-alone logging machines, such as log chippers.",0.2708686755851964,Green
45-4023,Log Graders and Scalers,Log Graders and Scalers,"Grade logs or estimate the marketable content or value of logs or pulpwood in sorting yards, millpond, log deck, or similar locations. Inspect logs for defects or measure logs to determine volume.",0.3655309437629815,Yellow
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,Directly supervise and coordinate activities of construction or extraction workers.,0.3972407847752718,Yellow
47-2011,Boilermakers,Boilermakers,"Construct, assemble, maintain, and repair stationary steam boilers and boiler house auxiliaries. Align structures or plate sections to assemble boiler frame tanks or vats, following blueprints. Work involves use of hand and power tools, plumb bobs, levels, wedges, dogs, or turnbuckles. Assist in testing assembled vessels. Direct cleaning of boilers and boiler furnaces. Inspect and repair boiler fittings, such as safety valves, regulators, automatic-control mechanisms, water columns, and auxiliary machines.",0.26142881238804144,Green
47-2021,Brickmasons and Blockmasons,Brickmasons and Blockmasons,"Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances, to construct or repair walls, partitions, arches, sewers, and other structures.",0.13419023775428465,Green
47-2022,Stonemasons,Stonemasons,"Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors.",0.14611921315649828,Green
47-2031,Carpenters,Carpenters,"Construct, erect, install, or repair structures and fixtures made of wood and comparable materials, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; and wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall, and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways.",0.24122713900199572,Green
47-2041,Carpet Installers,Carpet Installers,Lay and install carpet from rolls or blocks on floors. Install padding and trim flooring materials.,0.17304834501698108,Green
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles","Floor Layers, Except Carpet, Wood, and Hard Tiles","Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors.",0.22503494919330388,Green
47-2043,Floor Sanders and Finishers,Floor Sanders and Finishers,"Scrape and sand wooden floors to smooth surfaces using floor scraper and floor sanding machine, and apply coats of finish.",0.11466489213203158,Green
47-2044,Tile and Stone Setters,Tile and Marble Setters,"Apply hard tile, stone, and comparable materials to walls, floors, ceilings, countertops, and roof decks.",0.22481917649005753,Green
47-2051,Cement Masons and Concrete Finishers,Cement Masons and Concrete Finishers,"Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints.",0.1362135155887715,Green
47-2053,Terrazzo Workers and Finishers,Terrazzo Workers and Finishers,"Apply a mixture of cement, sand, pigment, or marble chips to floors, stairways, and cabinet fixtures to fashion durable and decorative surfaces.",0.12561906982399637,Green
47-2061,Construction Laborers,Construction Laborers,"Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris, and other waste materials. May assist other craft workers.",0.1394948187186879,Green
47-2071,"Paving, Surfacing, and Tamping Equipment Operators","Paving, Surfacing, and Tamping Equipment Operators","Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways or for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators.",0.21534450463873575,Green
47-2072,Pile Driver Operators,Pile-Driver Operators,"Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers.",0.22970933153609022,Green
47-2073,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.",0.2937267698156069,Green
